MSE,MAE,R2,model,X,train_s,infer_ms,cfg
8.722792625427246,1.1870408058166504,0.2694835662841797,NN,3,2.9,0.0053,"{'units': 64, 'lr': 0.001}"
8.6874674181958,1.1545707917949295,0.2724420342522589,RF,3,5.1,0.0023,"{'max_depth': None, 'n_estimators': 200}"
8.754179000854492,1.1920188665390015,0.26685506105422974,NN,5,3.2,0.0056,"{'units': 128, 'lr': 0.001}"
8.785800299074202,1.1900077090689576,0.26420685277368905,RF,5,6.4,0.0026,"{'max_depth': None, 'n_estimators': 200}"
8.785134315490723,1.2163715362548828,0.2642625570297241,NN,10,3.0,0.0058,"{'units': 128, 'lr': 0.001}"
9.20507494078414,1.2792094632332736,0.22909344276271393,RF,10,9.2,0.0028,"{'max_depth': None, 'n_estimators': 200}"
